"","gender","film","arousal"
"1","Male","Bridget Jones's Diary",22
"2","Male","Bridget Jones's Diary",13
"3","Male","Bridget Jones's Diary",16
"4","Male","Bridget Jones's Diary",10
"5","Male","Bridget Jones's Diary",18
"6","Male","Bridget Jones's Diary",24
"7","Male","Bridget Jones's Diary",13
"8","Male","Bridget Jones's Diary",14
"9","Male","Bridget Jones's Diary",19
"10","Male","Bridget Jones's Diary",23
"11","Male","Memento",37
"12","Male","Memento",20
"13","Male","Memento",16
"14","Male","Memento",28
"15","Male","Memento",27
"16","Male","Memento",18
"17","Male","Memento",32
"18","Male","Memento",24
"19","Male","Memento",21
"20","Male","Memento",35
"21","Female","Bridget Jones's Diary",3
"22","Female","Bridget Jones's Diary",15
"23","Female","Bridget Jones's Diary",5
"24","Female","Bridget Jones's Diary",16
"25","Female","Bridget Jones's Diary",13
"26","Female","Bridget Jones's Diary",20
"27","Female","Bridget Jones's Diary",11
"28","Female","Bridget Jones's Diary",19
"29","Female","Bridget Jones's Diary",15
"30","Female","Bridget Jones's Diary",7
"31","Female","Memento",30
"32","Female","Memento",25
"33","Female","Memento",31
"34","Female","Memento",36
"35","Female","Memento",23
"36","Female","Memento",14
"37","Female","Memento",21
"38","Female","Memento",31
"39","Female","Memento",22
"40","Female","Memento",14
