"","mun_type","municipality","region","barbershop","bath","museams","cafe","pop","year","oktmo","type","count"
"1","Городское поселение","Благовещенский поссовет","Алтайский край",26,50,1,NA,NA,2010,1605151,0,9
"2","Городское поселение","Степноозерский поссовет","Алтайский край",5,24,NA,NA,NA,2010,1605157,0,9
"3","Городское поселение","город Змеиногорск.","Алтайский край",8,8,1,NA,NA,2010,1614101,0,9
"4","Городское поселение","город Горняк","Алтайский край",20,47,1,NA,NA,2010,1625101,0,9
"5","Городское поселение","Малиновоозерский поссовет","Алтайский край",3,NA,NA,NA,NA,2010,1627154,0,9
"6","Городское поселение","Тальменский поссовет","Алтайский край",26,12,1,NA,NA,2010,1647151,0,9
"7","Городской округ, городской округ с внутригородским делением","город Барнаул","Алтайский край",1503,954,4,NA,NA,2010,1701000,0,9
"8","Городской округ, городской округ с внутригородским делением","город Алейск","Алтайский край",74,70,1,NA,NA,2010,1703000,0,9
"9","Городской округ, городской округ с внутригородским делением","город Белокуриха","Алтайский край",73,140,1,NA,NA,2010,1704000,0,9
"10","Городской округ, городской округ с внутригородским делением","город Бийск","Алтайский край",325,385,1,NA,NA,2010,1705000,0,9
"11","Городской округ, городской округ с внутригородским делением","город Заринск","Алтайский край",82,46,2,NA,NA,2010,1706000,0,9
"12","Городской округ, городской округ с внутригородским делением","город Новоалтайск","Алтайский край",90,97,1,NA,NA,2010,1713000,0,9
"13","Городской округ, городской округ с внутригородским делением","город Рубцовск","Алтайский край",643,176,2,NA,NA,2010,1716000,0,9
"14","Городской округ, городской округ с внутригородским делением","город Славгород","Алтайский край",47,242,1,NA,NA,2010,1719000,0,9
"15","Городской округ, городской округ с внутригородским делением","город Яровое","Алтайский край",18,105,1,NA,NA,2010,1730000,0,9
"16","Городское поселение","Благовещенский поссовет","Алтайский край",16,50,1,NA,NA,2011,1605151,0,9
"17","Городское поселение","Степноозерский поссовет","Алтайский край",5,24,NA,NA,NA,2011,1605157,0,9
"18","Городское поселение","город Змеиногорск.","Алтайский край",9,12,1,NA,NA,2011,1614101,0,9
"19","Городское поселение","город Горняк","Алтайский край",17,47,1,NA,NA,2011,1625101,0,9
