"","cigarette_per_day","age","sex","y_diplom","beer_per_day","life_satisfaction","subjective_respect","subjective_law","subjective_income"
"1",20,51,1,4,NA,2,6,4,4
"2",20,39,1,3,NA,3,8,4,4
"3",15,43,2,5,NA,4,6,4,4
"4",5,36,2,3,NA,2,6,6,3
"5",5,55,2,5,NA,4,6,5,5
"6",10,38,1,6,NA,4,5,4,4
"7",15,70,2,4,NA,4,5,4,4
"8",20,48,1,3,1500,3,6,3,2
"9",10,27,2,6,NA,2,5,3,2
"10",2,48,1,4,NA,2,1,1,1
"11",10,56,1,4,NA,2,5,4,4
"12",10,60,2,4,NA,3,6,2,2
"13",10,31,2,6,1500,1,9,8,7
"14",20,56,1,4,NA,3,NA,NA,NA
"15",2,66,1,4,NA,4,7,6,5
"16",10,62,1,3,3000,3,NA,NA,NA
"17",20,38,1,3,3000,3,NA,NA,NA
"18",25,65,1,4,1000,4,9,4,3
"19",10,65,1,4,NA,2,5,2,5
"20",20,26,1,4,1500,2,8,5,3
"21",20,42,1,4,1000,4,4,3,3
"22",10,66,1,2,NA,4,7,6,5
"23",10,66,1,3,NA,5,7,6,5
"24",20,59,1,5,NA,2,8,6,5
"25",10,36,1,4,1000,2,8,8,5
"26",20,60,2,2,1500,1,8,3,3
"27",20,32,2,4,1000,2,6,3,2
"28",20,37,1,5,500,2,5,4,3
"29",20,69,1,2,NA,4,5,2,2
"30",15,48,1,4,NA,3,4,2,3
"31",20,71,1,5,1000,2,7,5,5
"32",20,65,1,4,1500,5,3,2,3
"33",20,30,1,6,1000,2,7,4,4
"34",10,51,2,4,NA,3,4,3,3
"35",15,50,1,4,NA,4,7,4,3
"36",20,35,1,3,NA,3,NA,5,5
"37",20,33,1,5,1000,4,NA,4,4
"38",3,33,1,6,500,2,7,4,4
"39",10,34,1,3,NA,5,6,1,1
"40",10,56,1,4,NA,3,5,5,5
"41",10,64,1,4,NA,2,7,6,6
"42",20,56,1,4,NA,1,9,6,6
"43",10,29,1,6,NA,4,6,5,5
"44",10,36,1,6,500,2,7,6,4
"45",11,38,1,6,NA,2,4,3,5
"46",6,79,1,4,1000,2,7,3,5
"47",20,56,2,5,700,4,5,2,3
"48",20,73,1,4,NA,4,4,3,3
"49",10,58,1,4,NA,4,4,3,3
"50",10,37,1,4,1500,4,6,5,6
"51",20,34,1,5,1000,3,NA,5,5
"52",10,59,2,5,NA,5,7,1,1
"53",20,48,1,3,NA,3,7,5,4
"54",20,65,1,5,NA,2,6,3,3
"55",20,40,1,4,NA,2,7,4,4
"56",20,34,1,4,NA,2,7,4,4
"57",10,37,2,4,500,5,1,1,1
"58",10,34,1,4,500,1,6,6,6
"59",20,59,1,4,NA,4,6,5,4
"60",20,34,1,3,NA,3,6,6,5
"61",20,29,1,4,NA,2,7,6,6
"62",10,43,1,2,NA,5,2,2,1
"63",8,50,1,4,NA,3,3,NA,5
"64",20,44,1,2,1500,2,NA,4,4
"65",15,34,1,5,NA,2,5,4,5
"66",15,60,1,4,500,3,8,3,3
"67",20,52,1,4,NA,5,5,2,2
"68",20,59,1,4,NA,4,7,4,3
"69",15,59,1,4,500,2,7,3,5
"70",6,49,1,4,2000,4,3,1,1
"71",20,53,1,4,1500,4,7,3,4
"72",20,26,1,5,2000,4,6,4,5
"73",20,37,1,5,2000,4,NA,6,5
"74",18,49,1,4,NA,2,7,4,3
"75",20,45,1,3,NA,5,3,3,3
"76",20,30,1,5,500,4,6,3,3
"77",10,55,1,4,2000,4,NA,3,4
"78",10,33,1,5,NA,4,4,3,3
"79",15,40,1,4,NA,4,8,4,4
"80",10,68,1,2,NA,4,7,3,2
"81",20,43,1,6,NA,4,5,3,4
"82",10,38,1,6,NA,5,NA,NA,NA
"83",20,52,1,5,NA,2,7,3,3
"84",7,44,1,5,1500,2,6,2,3
"85",15,78,1,5,500,2,NA,3,5
"86",5,71,1,6,500,2,5,5,4
"87",20,30,1,5,NA,3,7,4,3
"88",7,55,1,4,NA,3,6,4,4
"89",5,30,2,5,NA,4,7,4,4
"90",20,70,1,4,NA,3,7,2,2
"91",10,58,1,2,1500,4,8,4,4
"92",6,67,2,6,NA,3,8,5,4
"93",10,46,2,5,1600,3,6,4,3
"94",20,34,1,5,1500,3,7,5,4
"95",20,68,2,4,NA,4,5,3,3
"96",20,49,1,4,NA,4,4,3,2
"97",20,60,1,4,NA,3,8,2,2
"98",20,66,2,5,NA,2,6,4,4
"99",10,35,1,3,1500,2,7,4,4
"100",20,71,2,4,NA,4,7,4,3
"101",5,39,2,3,200,3,4,3,1
"102",20,60,1,4,NA,2,5,3,2
"103",5,57,2,3,NA,1,5,4,4
"104",10,59,1,5,1000,4,3,3,3
"105",20,70,1,4,NA,2,5,2,3
"106",10,29,2,3,1000,4,4,2,1
"107",3,49,2,4,500,5,4,1,2
"108",10,55,2,5,NA,4,7,2,3
"109",20,57,1,5,3000,3,7,2,3
"110",20,73,1,4,NA,4,6,2,3
"111",20,61,1,5,NA,3,9,6,7
"112",20,84,1,5,NA,2,8,3,5
"113",NA,71,1,4,NA,2,5,7,5
"114",4,71,1,1,NA,2,8,8,6
"115",NA,56,1,4,NA,3,5,6,6
"116",4,30,1,6,NA,2,6,9,7
"117",6,57,1,4,NA,2,8,7,6
"118",15,42,1,3,1000,4,NA,2,2
"119",8,58,1,5,500,2,7,4,4
"120",8,65,1,5,NA,3,5,5,4
"121",10,63,1,4,NA,3,9,5,5
"122",20,46,1,5,NA,2,8,5,6
"123",2,59,1,5,250,4,6,4,1
"124",10,40,1,6,NA,3,5,4,4
"125",20,41,1,2,NA,2,7,6,3
"126",20,65,1,2,NA,4,NA,NA,NA
"127",10,38,2,3,500,2,8,2,3
"128",3,71,1,3,NA,NA,5,1,5
"129",12,63,1,2,NA,2,7,4,5
"130",10,61,1,NA,500,3,NA,NA,NA
"131",20,44,1,2,NA,5,NA,1,1
"132",20,44,1,2,NA,2,6,4,6
"133",15,43,2,3,NA,2,5,4,3
"134",30,46,1,4,1500,5,2,3,3
"135",10,67,1,2,NA,3,5,2,4
"136",20,69,1,6,NA,2,7,7,8
"137",10,47,2,6,NA,3,8,7,4
"138",13,47,1,5,NA,4,4,2,2
"139",6,32,1,4,NA,2,3,3,3
"140",15,46,1,4,NA,3,NA,5,3
"141",8,46,2,4,650,3,8,5,2
"142",8,49,2,4,NA,3,9,2,5
"143",20,52,1,4,NA,4,9,1,4
"144",12,29,1,4,NA,3,9,3,3
"145",10,49,2,4,NA,4,4,4,3
"146",10,40,1,5,2000,3,6,4,4
"147",25,33,2,4,3000,3,5,3,5
"148",6,56,1,4,1500,3,4,4,4
"149",10,53,2,4,NA,5,3,3,3
"150",20,44,1,4,NA,3,5,4,3
"151",20,30,1,5,2000,5,6,5,4
"152",20,64,1,4,NA,5,6,4,5
"153",5,36,2,3,NA,3,8,4,5
"154",20,33,1,2,NA,3,8,7,5
"155",20,60,1,4,NA,3,7,4,4
"156",20,50,1,3,NA,3,5,5,5
"157",10,64,1,4,NA,3,6,5,4
"158",15,56,1,2,NA,4,6,6,4
"159",10,56,1,1,1500,5,2,2,2
"160",10,52,2,4,1000,3,7,3,3
"161",10,28,2,4,1000,3,7,4,4
"162",15,46,1,2,2000,4,5,2,NA
"163",7,31,1,6,500,2,5,3,2
"164",5,43,2,6,NA,3,6,6,5
"165",15,73,1,4,NA,2,NA,6,6
"166",20,49,1,4,NA,1,NA,NA,NA
"167",NA,54,1,4,NA,NA,NA,NA,NA
"168",12,54,1,4,NA,1,5,4,3
"169",NA,48,1,5,NA,3,NA,NA,NA
"170",15,38,1,4,NA,2,7,7,7
"171",20,53,1,4,NA,4,4,4,3
"172",15,59,1,3,NA,2,3,2,1
"173",20,61,1,4,NA,2,4,4,4
"174",20,66,1,4,NA,1,6,4,2
"175",15,29,1,6,1000,3,7,5,4
"176",10,55,1,4,1000,4,6,4,4
"177",15,60,1,4,1000,3,7,4,4
"178",20,36,1,6,1500,3,7,4,4
"179",15,52,1,4,NA,4,6,4,3
"180",20,29,1,4,NA,5,6,3,3
"181",10,35,1,3,NA,2,9,5,5
"182",12,42,1,3,NA,4,8,3,3
