"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"1","Very good","Female","0","3",4,0,1,10,2,10,10
"2","Very good","Female","1","2",6,1,1,9,2,10,4
"3","Very good","Male","1","2",6,2,0,8,2,6,6
"4","Fairly good","Female","1","1",NA,1,NA,8,2,10,10
"5","Fairly good","Female","1","2",6,1,1,8,2,9,7
"6","Fairly good","Male","0","1",NA,2,10,10,2,10,10
"7","Very good","Male","0","2",10,2,10,10,3,10,10
"8","Fairly good","Female","0","2",NA,1,10,10,1,10,10
"9","Fairly bad","Male","1","2",NA,1,10,10,1,10,10
"10","Fairly good","Male","0","3",10,5,5,5,1,5,5
"11","Very good","Male","1","2",5,1,5,9,2,9,10
"12","Very good","Female","0","2",NA,4,5,10,1,10,10
"13","Fairly bad","Male","0","2",5,3,3,4,2,2,2
"14",NA,"Male","0","1",4,NA,1,5,2,5,10
"15","Fairly good","Female","0",NA,NA,0,0,NA,1,NA,8
"16","Fairly good","Male","1",NA,NA,0,0,0,1,5,9
"17","Fairly good","Female","1",NA,NA,0,0,NA,1,6,9
"18","Very good","Male","0","2",10,1,5,10,1,10,10
"19","Fairly good","Male","0","2",10,6,6,7,1,9,10
"20","Fairly good","Male","0","1",9,1,6,8,1,10,10
"21","Fairly bad","Male","1","3",7,7,9,9,1,9,10
"22","Fairly good","Male","0","2",3,4,6,8,2,9,10
"23","Very good","Male","0","1",5,1,1,8,2,6,7
"24","Fairly good","Male","0","2",4,1,6,10,2,8,9
"25","Fairly good","Female","1","2",7,6,8,10,1,10,10
"26","Fairly good","Female","1","2",8,7,1,10,2,10,10
"27","Fairly good","Female","1","1",7,1,7,10,2,10,10
"28","Fairly good","Female","1","2",10,1,10,7,1,10,10
"29",NA,"Male","0","1",10,NA,10,10,1,10,10
"30","Fairly good","Male","1",NA,5,NA,0,NA,1,6,10
"31","Very good","Female","0","2",9,5,6,7,2,10,10
"32","Fairly good","Male","0","1",5,2,7,10,2,10,10
"33","Very good","Female","1","3",7,1,1,10,1,10,10
"34","Fairly good","Female","0","1",5,5,5,6,2,10,10
"35","Very bad","Female","1","3",8,6,5,7,4,9,8
"36","Fairly good","Male","1","2",NA,10,5,10,2,10,10
"37","Fairly bad","Female","0","2",5,8,8,6,2,7,7
"38","Very good","Female","1","2",10,1,10,7,1,10,10
"39","Very good","Female","1","2",NA,8,10,9,1,9,10
"40","Fairly good","Female","1","2",NA,2,3,9,2,9,10
"41","Fairly good","Female","0","1",3,7,5,6,2,7,9
"42","Very good","Male","0","2",NA,4,3,10,1,10,10
"43","Very good","Female","0","1",NA,8,10,9,1,9,10
"44","Fairly good","Female","1","2",4,8,6,8,2,6,8
"45","Very good","Female","0","1",NA,4,7,10,1,10,10
"46",NA,"Female","0","1",NA,NA,NA,NA,2,8,NA
"47",NA,"Female","1",NA,NA,0,0,3,1,8,8
"48",NA,"Male","1",NA,NA,0,0,8,2,10,10
"49","Fairly good","Female","0","2",8,1,3,10,1,10,10
"50","Very good","Male","0","2",4,1,4,8,2,10,10
"51","Fairly good","Female","0","2",5,1,10,5,1,10,10
"52","Fairly good","Female","0","2",NA,2,5,10,1,10,10
"53","Fairly good","Female","0","1",8,6,7,9,1,10,10
"54","Very good","Female","0","1",NA,NA,10,10,1,10,10
"55","Very good","Female","0","1",5,1,10,10,1,10,10
"56","Fairly good","Female","0","2",NA,NA,10,10,2,10,10
"57","Fairly good","Female","0","2",5,1,0,10,2,10,10
"58","Fairly good","Female","1","2",NA,5,10,10,2,10,10
"59","Fairly good","Male","0","2",5,3,10,10,2,10,10
"60",NA,"Male","0",NA,NA,NA,NA,10,2,10,10
"61","Fairly good","Male","0","2",10,0,10,5,2,10,10
"62","Very good","Male","1","2",2,1,1,8,1,0,9
"63","Fairly good","Female","0","1",5,7,9,9,2,10,10
"64","Fairly good","Female","1","2",6,2,1,6,1,10,7
"65","Fairly good","Male","1","1",2,1,1,10,2,10,10
"66","Fairly good","Male","0","2",5,0,9,10,1,10,10
"67","Fairly bad","Male","0","2",NA,1,10,10,1,10,5
"68","Very good","Female","1","2",8,1,1,10,2,10,10
"69","Fairly good","Female","0","2",2,6,10,10,1,10,10
"70","Fairly good","Male","1","2",4,4,6,10,2,10,10
"71","Fairly good","Female","0","2",NA,6,10,10,1,10,10
"72","Fairly good","Female","0","2",7,1,5,10,2,10,10
"73","Very good","Female","1","2",3,2,4,6,2,6,4
"74","Very good","Female","0","2",NA,1,5,10,1,10,10
"75",NA,"Female","1","2",NA,4,5,6,3,9,7
"76","Very good","Female","0","2",3,4,4,6,2,6,10
"77","Very good","Male","1","2",6,1,3,6,2,6,3
"78","Very bad","Male","1","2",6,1,3,8,3,9,7
"79","Very good","Female","1","2",8,1,1,10,1,10,10
"80","Fairly good","Female","1","2",5,1,6,7,2,9,8
"81","Fairly good","Male","1","2",7,1,3,9,1,10,10
"82","Fairly good","Female","0","1",5,6,3,9,2,7,10
"83","Very bad","Female","0",NA,NA,3,3,8,2,7,6
"84","Very bad","Male","0","2",NA,2,6,7,2,6,6
"85","Very bad","Female","0","2",NA,6,5,6,2,6,7
"86","Very bad","Female","1","2",6,8,9,8,2,7,6
"87",NA,"Male","1","2",10,NA,10,10,1,10,10
"88","Fairly good","Male","0","2",10,NA,10,5,1,10,10
"89","Fairly bad","Male","0","1",NA,2,5,5,2,10,10
"90","Very good","Male","0","1",1,1,5,10,1,10,10
"91","Fairly good","Female","0","2",6,6,6,6,3,7,6
"92","Fairly good","Male","0","2",7,5,6,6,2,6,5
"93","Fairly good","Male","1","3",6,6,5,8,2,5,5
"94","Fairly good","Female","1","2",6,5,6,7,2,5,6
"95","Fairly good","Female","1","2",6,6,5,4,2,5,7
"96","Fairly bad","Male","0","2",6,4,7,5,2,4,5
"97","Fairly good","Male","0","2",NA,3,NA,7,1,8,7
"98","Fairly good","Female","0","1",NA,1,8,1,1,1,1
"99","Very good","Male","0","1",10,1,8,8,1,1,9
"100",NA,"Male","1","2",5,5,10,10,1,10,10
"101",NA,"Female","0","2",6,4,10,5,1,10,10
"102",NA,"Male","1","2",5,5,10,10,1,10,10
"103",NA,"Male","0","2",6,5,10,9,2,10,7
"104",NA,"Female","0","2",10,4,7,6,1,6,8
"105","Fairly bad","Female","0","1",1,10,9,9,1,9,9
"106","Fairly good","Female","0","1",5,5,5,7,1,5,5
"107","Fairly good","Male","0","1",6,0,0,NA,1,NA,9
"108",NA,"Male","1","2",8,7,7,5,1,10,10
"109","Fairly good","Male","1","3",10,3,5,9,1,6,0
"110","Very good","Male","1","3",5,9,10,8,2,10,7
